                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1148,                 3.5037,                 3.2255,                  1.373,                0.00331,                    0.5,                0.01127,                0.00352,                0.00331,                    0.5,                0.00854,                0.00256,                  2.257,                 3.8992,                 4.4187,                 2.4375,              5.001e-05,              5.001e-05,              5.001e-05
                      2,                 0.9401,                 2.6604,                 2.9573,                 1.2391,                0.00307,                    0.5,                0.16807,                0.08167,                0.00307,                    0.5,                0.14786,                0.08368,                 1.7069,                 3.2073,                  4.005,                 1.9963,             0.00011611,             0.00011611,             0.00011611
                      3,                0.87618,                 1.9019,                 2.4396,                 1.1513,                0.00303,                    0.5,                0.45653,                0.36913,                0.00303,                    0.5,                0.46613,                0.35308,                0.99914,                  2.668,                 3.5937,                  1.427,             0.00018155,             0.00018155,             0.00018155
                      4,                0.89599,                 1.7258,                 1.9317,                  1.141,                0.96829,                0.25479,                0.47708,                 0.3492,                      1,                0.27203,                0.49287,                0.33569,                 1.2426,                 2.5672,                 3.2846,                 1.5679,             0.00024634,             0.00024634,             0.00024634
                      5,                0.87832,                 1.4859,                  1.575,                 1.1113,                0.00426,                0.52174,                0.47214,                0.30037,                0.00436,                0.54348,                0.47953,                 0.3656,                 1.2524,                 2.2966,                 3.4235,                 1.6148,             0.00031046,             0.00031046,             0.00031046
                      6,                 0.9008,                 1.4207,                 1.5117,                 1.1211,                0.81529,                    0.5,                0.45433,                0.28218,                0.81529,                    0.5,                0.46483,                0.29762,                 1.2828,                 2.4018,                 3.4044,                 1.6941,             0.00037392,             0.00037392,             0.00037392
                      7,                0.79592,                 1.3916,                 1.4086,                 1.0811,                0.89614,                0.48276,                0.47551,                0.28815,                0.89614,                0.48276,                0.48181,                0.27648,                  1.406,                 2.6795,                 3.0659,                 1.8905,             0.00043672,             0.00043672,             0.00043672
                      8,                 0.8073,                 1.2617,                 1.3058,                 1.1017,                0.96714,                0.43103,                0.48643,                0.28638,                0.96714,                0.43103,                0.48655,                0.27692,                 1.5371,                 2.2803,                 3.1904,                 2.0846,             0.00049886,             0.00049886,             0.00049886
                      9,                0.75968,                 1.1577,                  1.259,                 1.0985,                0.77503,                0.39655,                0.39332,                0.14466,                0.87724,                    0.5,                0.46372,                0.23351,                 1.5601,                 2.1992,                 3.4819,                 1.9058,             0.00056035,             0.00056035,             0.00056035
                     10,                0.87194,                 1.2725,                 1.2961,                 1.1147,                0.95288,                0.44828,                0.48618,                0.24403,                0.91698,                0.43303,                0.44394,                0.26361,                 1.4532,                 2.3815,                  3.589,                 1.8023,             0.00062117,             0.00062117,             0.00062117
                     11,                 0.8339,                 1.2561,                 1.2646,                 1.1563,                0.90462,                0.43103,                0.44947,                0.32271,                0.90462,                0.43103,                0.45018,                0.34134,                 1.3531,                 2.6968,                 3.2679,                  1.682,             0.00068133,             0.00068133,             0.00068133
                     12,                0.88605,                   1.22,                 1.2012,                 1.1214,                0.98765,                0.48276,                  0.497,                0.40873,                0.98765,                0.48276,                  0.497,                0.41565,                 1.1666,                 2.5166,                 2.6871,                 1.5431,             0.00074083,             0.00074083,             0.00074083
